日期,时间,经度方向,经度,纬度方向,纬度,海拔,速率,航向,卫星数量
2017年5月10日,9时38分47秒,E,11141.577,N,4047.975,1063米,0.00公里／小时,航向:351.0,09颗
2017年5月10日,9时38分48秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:338.0,09颗
2017年5月10日,9时38分49秒,E,11141.577,N,4047.976,1063米,1.85公里／小时,航向:334.6,09颗
2017年5月10日,9时38分50秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,10颗
2017年5月10日,9时38分51秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,08颗
2017年5月10日,9时38分52秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,09颗
2017年5月10日,9时38分53秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,09颗
2017年5月10日,9时38分54秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,09颗
2017年5月10日,9时38分55秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,09颗
2017年5月10日,9时38分56秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,09颗
2017年5月10日,9时38分57秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,09颗
2017年5月10日,9时38分58秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,09颗
2017年5月10日,9时38分59秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,10颗
2017年5月10日,9时39分0秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,10颗
2017年5月10日,9时39分1秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,10颗
2017年5月10日,9时39分2秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,10颗
2017年5月10日,9时39分3秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,10颗
2017年5月10日,9时39分4秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,10颗
2017年5月10日,9时39分5秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,10颗
2017年5月10日,9时39分6秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,09颗
2017年5月10日,9时39分7秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,09颗
2017年5月10日,9时39分8秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,10颗
2017年5月10日,9时39分9秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,10颗
2017年5月10日,9时39分10秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,10颗
2017年5月10日,9时39分11秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,10颗
2017年5月10日,9时39分12秒,E,11141.577,N,4047.976,1063米,0.00公里／小时,航向:351.2,10颗
2017年5月10日,9时39分13秒,E,11141.576,N,4047.977,1063米,3.70公里／小时,航向:323.8,10颗
2017年5月10日,9时39分14秒,E,11141.575,N,4047.978,1063米,11.11公里／小时,航向:324.5,10颗
2017年5月10日,9时39分15秒,E,11141.574,N,4047.981,1063米,14.82公里／小时,航向:325.9,09颗
2017年5月10日,9时39分16秒,E,11141.573,N,4047.983,1063米,16.67公里／小时,航向:326.8,10颗
2017年5月10日,9时39分17秒,E,11141.572,N,4047.986,1063米,20.37公里／小时,航向:328.2,10颗
2017年5月10日,9时39分18秒,E,11141.570,N,4047.990,1063米,22.22公里／小时,航向:329.7,10颗
2017年5月10日,9时39分19秒,E,11141.569,N,4047.993,1063米,20.37公里／小时,航向:331.0,10颗
2017年5月10日,9时39分20秒,E,11141.567,N,4047.996,1063米,18.52公里／小时,航向:332.2,10颗
2017年5月10日,9时39分21秒,E,11141.566,N,4047.998,1063米,14.82公里／小时,航向:333.4,10颗
2017年5月10日,9时39分22秒,E,11141.565,N,4048.000,1064米,11.11公里／小时,航向:334.3,10颗
2017年5月10日,9时39分23秒,E,11141.564,N,4048.002,1064米,12.96公里／小时,航向:335.2,10颗
2017年5月10日,9时39分24秒,E,11141.562,N,4048.005,1065米,16.67公里／小时,航向:336.0,10颗
2017年5月10日,9时39分25秒,E,11141.560,N,4048.007,1066米,16.67公里／小时,航向:336.9,10颗
2017年5月10日,9时39分26秒,E,11141.559,N,4048.010,1066米,18.52公里／小时,航向:337.6,10颗
2017年5月10日,9时39分27秒,E,11141.557,N,4048.013,1067米,22.22公里／小时,航向:339.7,10颗
2017年5月10日,9时39分28秒,E,11141.555,N,4048.016,1067米,24.08公里／小时,航向:340.9,10颗
2017年5月10日,9时39分29秒,E,11141.554,N,4048.020,1068米,25.93公里／小时,航向:341.7,10颗
2017年5月10日,9时39分30秒,E,11141.552,N,4048.024,1069米,25.93公里／小时,航向:342.2,10颗
2017年5月10日,9时39分31秒,E,11141.550,N,4048.028,1069米,25.93公里／小时,航向:342.3,10颗
2017年5月10日,9时39分31秒,E,11141.550,N,4048.028,1069米,25.93公里／小时,航向:342.3,10颗
2017年5月10日,9时39分32秒,E,11141.549,N,4048.031,1069米,22.22公里／小时,航向:341.9,10颗
2017年5月10日,9时39分33秒,E,11141.547,N,4048.034,1069米,16.67公里／小时,航向:341.9,10颗
2017年5月10日,9时39分34秒,E,11141.546,N,4048.037,1069米,12.96公里／小时,航向:341.7,10颗
2017年5月10日,9时39分35秒,E,11141.545,N,4048.039,1068米,14.82公里／小时,航向:342.2,09颗
2017年5月10日,9时39分36秒,E,11141.544,N,4048.042,1069米,18.52公里／小时,航向:342.2,10颗
2017年5月10日,9时39分37秒,E,11141.543,N,4048.045,1069米,18.52公里／小时,航向:341.7,09颗
2017年5月10日,9时39分38秒,E,11141.541,N,4048.047,1068米,20.37公里／小时,航向:340.9,09颗
2017年5月10日,9时39分39秒,E,11141.540,N,4048.051,1068米,22.22公里／小时,航向:339.6,09颗
2017年5月10日,9时39分40秒,E,11141.538,N,4048.054,1067米,25.93公里／小时,航向:338.2,09颗
2017年5月10日,9时39分41秒,E,11141.535,N,4048.058,1067米,29.63公里／小时,航向:337.5,08颗
2017年5月10日,9时39分42秒,E,11141.533,N,4048.063,1067米,31.48公里／小时,航向:338.0,09颗
2017年5月10日,9时39分44秒,E,11141.529,N,4048.072,1067米,27.78公里／小时,航向:339.2,09颗
2017年5月10日,9时39分45秒,E,11141.527,N,4048.076,1067米,29.63公里／小时,航向:341.1,09颗
2017年5月10日,9时39分46秒,E,11141.526,N,4048.081,1068米,31.48公里／小时,航向:343.0,09颗
2017年5月10日,9时39分46秒,E,11141.526,N,4048.081,1068米,31.48公里／小时,航向:343.0,09颗
2017年5月10日,9时39分48秒,E,11141.523,N,4048.092,1068米,35.19公里／小时,航向:345.9,08颗
2017年5月10日,9时39分48秒,E,11141.523,N,4048.092,1069米,35.19公里／小时,航向:345.9,08颗
2017年5月10日,9时39分50秒,E,11141.519,N,4048.103,1069米,37.04公里／小时,航向:346.0,08颗
2017年5月10日,9时39分50秒,E,11141.519,N,4048.103,1070米,37.04公里／小时,航向:346.0,09颗
2017年5月10日,9时39分51秒,E,11141.516,N,4048.108,1070米,37.04公里／小时,航向:345.7,09颗
2017年5月10日,9时39分52秒,E,11141.513,N,4048.113,1070米,38.89公里／小时,航向:345.4,09颗
2017年5月10日,9时39分53秒,E,11141.510,N,4048.119,1070米,38.89公里／小时,航向:344.6,09颗
2017年5月10日,9时39分55秒,E,11141.505,N,4048.131,1070米,38.89公里／小时,航向:342.0,09颗
2017年5月10日,9时39分55秒,E,11141.505,N,4048.131,1069米,38.89公里／小时,航向:342.0,09颗
2017年5月10日,9时39分56秒,E,11141.502,N,4048.137,1069米,40.74公里／小时,航向:341.1,09颗
2017年5月10日,9时39分57秒,E,11141.499,N,4048.142,1070米,38.89公里／小时,航向:340.5,10颗
2017年5月10日,9时39分58秒,E,11141.496,N,4048.148,1070米,37.04公里／小时,航向:340.5,10颗
2017年5月10日,9时39分59秒,E,11141.494,N,4048.153,1070米,35.19公里／小时,航向:341.6,10颗
2017年5月10日,9时40分0秒,E,11141.492,N,4048.158,1070米,33.34公里／小时,航向:343.0,10颗
2017年5月10日,9时40分2秒,E,11141.488,N,4048.168,1070米,33.34公里／小时,航向:343.7,10颗
2017年5月10日,9时40分2秒,E,11141.488,N,4048.168,1069米,33.34公里／小时,航向:343.7,10颗
2017年5月10日,9时40分4秒,E,11141.483,N,4048.178,1069米,33.34公里／小时,航向:341.3,10颗
2017年5月10日,9时40分4秒,E,11141.483,N,4048.178,1070米,33.34公里／小时,航向:341.3,10颗
2017年5月10日,9时40分5秒,E,11141.481,N,4048.183,1069米,33.34公里／小时,航向:340.1,10颗
2017年5月10日,9时40分6秒,E,11141.478,N,4048.189,1069米,33.34公里／小时,航向:340.0,10颗
2017年5月10日,9时40分7秒,E,11141.476,N,4048.193,1069米,33.34公里／小时,航向:340.2,10颗
2017年5月10日,9时40分8秒,E,11141.473,N,4048.198,1069米,31.48公里／小时,航向:340.5,10颗
2017年5月10日,9时40分9秒,E,11141.471,N,4048.203,1070米,31.48公里／小时,航向:341.2,10颗
2017年5月10日,9时40分10秒,E,11141.469,N,4048.207,1070米,31.48公里／小时,航向:341.3,10颗
2017年5月10日,9时40分11秒,E,11141.466,N,4048.212,1070米,31.48公里／小时,航向:341.1,10颗
2017年5月10日,9时40分12秒,E,11141.464,N,4048.216,1070米,29.63公里／小时,航向:341.3,10颗
2017年5月10日,9时40分13秒,E,11141.462,N,4048.221,1070米,29.63公里／小时,航向:342.1,10颗
2017年5月10日,9时40分14秒,E,11141.460,N,4048.225,1070米,31.48公里／小时,航向:342.3,10颗
2017年5月10日,9时40分16秒,E,11141.455,N,4048.235,1071米,35.19公里／小时,航向:340.2,10颗
2017年5月10日,9时40分16秒,E,11141.455,N,4048.235,1070米,35.19公里／小时,航向:340.2,10颗
2017年5月10日,9时40分17秒,E,11141.452,N,4048.240,1071米,37.04公里／小时,航向:339.4,10颗
2017年5月10日,9时40分19秒,E,11141.447,N,4048.250,1071米,33.34公里／小时,航向:339.5,10颗
2017年5月10日,9时40分19秒,E,11141.447,N,4048.250,1071米,33.34公里／小时,航向:339.5,10颗
2017年5月10日,9时40分20秒,E,11141.445,N,4048.255,1071米,29.63公里／小时,航向:340.6,10颗
2017年5月10日,9时40分22秒,E,11141.441,N,4048.262,1071米,24.08公里／小时,航向:340.4,10颗
2017年5月10日,9时40分22秒,E,11141.441,N,4048.262,1071米,24.08公里／小时,航向:340.4,10颗
2017年5月10日,9时40分23秒,E,11141.439,N,4048.265,1071米,20.37公里／小时,航向:339.8,10颗
2017年5月10日,9时40分24秒,E,11141.438,N,4048.268,1071米,16.67公里／小时,航向:339.6,10颗
2017年5月10日,9时40分25秒,E,11141.438,N,4048.270,1071米,9.26公里／小时,航向:340.3,10颗
2017年5月10日,9时40分26秒,E,11141.438,N,4048.272,1070米,3.70公里／小时,航向:340.6,10颗
2017年5月10日,9时40分28秒,E,11141.438,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分29秒,E,11141.438,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分29秒,E,11141.438,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分30秒,E,11141.438,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
2017年5月10日,9时40分31秒,E,11141.437,N,4048.273,1070米,0.00公里／小时,航向:340.9,10颗
